id,name,project_type,description,status,start_date,end_date,function_points,interface_count,technology_stack,demand_stability_rating,team_size,team_experience_level,priority,risk_level
1,加入选择项目,硬件采购,如果进入一般.,in_progress,2024-01-09,2024-11-13,0,0,[],4.0,3,senior,low,high
2,程序那些项目,硬件采购,工程质量工程手机更多一定.还有美国那个实现发表质量.,in_progress,2023-05-27,2024-02-27,0,0,[],2.7,18,mixed,high,low
3,语言投资项目,软件开发,因此你的大家软件感觉.必须更新根据政府您的一定.,planning,2023-03-10,2023-09-01,129,0,"[""C#"", ""PHP"", ""Vue.js"", ""JavaScript""]",4.9,8,junior,high,low
4,特别资源项目,市场推广,计划问题电影设备联系名称时间社会.为什完全一种是一.最后处理投资重要不是.,cancelled,2023-02-22,2023-04-26,0,0,[],3.7,15,mixed,high,low
5,认为广告项目,市场推广,主要两个设备事情.,completed,2024-04-04,2025-03-22,0,0,[],3.2,5,senior,medium,high
6,当然参加项目,咨询服务,一下搜索知道部分然后信息有些.关于最新为什男人有限.,planning,2024-05-16,2025-03-18,0,0,[],4.6,11,junior,high,medium
7,时间记者项目,咨询服务,孩子在线有限选择阅读服务非常过程.,planning,2022-11-19,2023-06-22,0,0,[],3.1,16,mixed,medium,medium
8,发布正在项目,系统集成,记者其他你的.喜欢各种责任一切学习两个标准是一.,in_progress,2022-10-04,2023-08-11,86,23,"[""SQLite"", ""Redis"", ""AWS""]",2.6,2,junior,medium,high
9,这里资源项目,硬件采购,地址以下手机男人经济标准发生拥有.说明一直运行这里教育注册.,completed,2022-12-07,2023-03-15,0,0,[],1.2,4,mixed,low,low
10,次数部分项目,咨询服务,类型有限拥有以下的话起来主要.一些论坛那些类型.那个经验一种任何一次.,in_progress,2022-12-13,2023-02-05,0,0,[],3.4,10,mixed,low,high
11,对于非常项目,硬件采购,产品投资社区而且商品看到不同您的.关系准备这么可能您的一般.相关责任不能类别.,planning,2023-03-19,2023-10-01,0,0,[],3.9,13,senior,low,low
12,单位价格项目,咨询服务,大家地址能够地方那些.您的资源为了项目来自进行显示.网上这是空间你们其他搜索在线.,planning,2024-05-18,2024-12-18,0,0,[],1.2,15,junior,medium,low
13,没有精华项目,硬件采购,当然更新目前制作.点击价格商品科技搜索需要你的能力.,planning,2023-08-16,2023-11-28,0,0,[],1.2,17,junior,low,high
14,作为图片项目,系统集成,经营直接论坛地方之间.进入主题电话内容如果能力详细.这里不会操作投资.,completed,2024-01-06,2024-08-10,300,21,"[""Django"", ""MongoDB"", ""Java"", ""Angular"", ""Vue.js"", ""Docker""]",4.2,11,senior,medium,medium
15,因此来自项目,硬件采购,以后开发对于.那些网络论坛出现控制你的看到都是.详细应该信息资料的是.,completed,2022-07-16,2022-11-25,0,0,[],1.5,6,senior,high,high
16,全部点击项目,市场推广,研究情况所有方法重要搜索因此.最新希望销售因此一切就是知道.会员正在设备现在如何事情所有.,in_progress,2023-02-19,2024-02-13,0,0,[],2.0,5,mixed,low,high
17,全国的话项目,市场推广,实现作为次数大学.拥有品牌国内运行一个.,planning,2022-07-19,2022-09-12,0,0,[],3.9,8,mixed,high,high
18,品牌来自项目,咨询服务,他们结果完全要求不要的话.来自一个之后科技不要.一定不要不要安全类别必须完成.,planning,2023-02-15,2023-08-24,0,0,[],2.7,12,mixed,low,medium
